h_tract,w_tract,commuters
42003450700,42003020100,86
42003468700,42003020100,86
42003490003,42003490003,86
42003526202,42003521200,86
42003412001,42003040200,85
42003421200,42003040200,85
42003456001,42003458000,85
42003460002,42003460002,85
42003474201,42003459201,85
42003427200,42003421100,84
42003475402,42003475301,84
42003482500,42003020100,84
42003488100,42003020100,84
42003521200,42003521301,84
42003521302,42003521302,84
42003521500,42003521200,84
42003523800,42003040200,84
42003560400,42003020100,84
42003456001,42003459201,83
42003401100,42003020100,82
42003407001,42003408001,82
42003413201,42003409000,82
42003413300,42003413300,82
42003426300,42003982200,82
42003449000,42003452000,82
42003458000,42003469000,82
42003475102,42003020100,82
42003525300,42003020100,82
42003563900,42003982200,82
42003040400,42003982200,81
42003090200,42003982200,81
42003408001,42003408002,81
42003423000,42003982200,81
42003151700,42003140100,80
42003413100,42003413300,80
42003414102,42003409000,80
42003414200,42003040200,80
42003426400,42003421100,80
42003446000,42003020100,80
42003456003,42003451300,80
42003470600,42003020100,80
42003475303,42003475301,80
42003484500,42003982200,80
42003503002,42003564200,80
42003521401,42003521301,80
42003526101,42003040200,80
42003563800,42003445500,80
42003080400,42003982200,79
42003412001,42003459201,79
42003422000,42003040200,79
42003426300,42003040200,79
42003427100,42003982200,79
42003447000,42003445500,79
42003477300,42003982200,79
42003491101,42003491200,79
42003496200,42003496101,79
42003521500,42003521301,79
42003563800,42003563800,79
42003413100,42003040200,78
42003414101,42003982200,78
42003414102,42003040200,78
42003415001,42003982200,78
42003564000,42003453003,78
42003140600,42003140100,77
42003160900,42003160900,77
42003202300,42003469000,77
42003412001,42003413300,77
42003456004,42003459201,77
42003551200,42003020100,77
42003563000,42003459201,77
42003563100,42003459201,77
42003070600,42003040200,76
42003170200,42003982200,76
42003429202,42003982200,76
42003429400,42003429400,76
42003437000,42003982200,76
42003459101,42003459201,76
42003478200,42003982200,76
42003491101,42003489001,76
42003496102,42003496102,76
42003523702,42003521200,76
42003551300,42003551900,76
42003564000,42003453004,76
42003111300,42003982200,75
42003151700,42003151700,75
42003411000,42003459201,75
42003415002,42003982200,75
42003426300,42003413500,75
42003426400,42003426400,75
42003427200,42003982200,75
42003445500,42003452000,75
42003473402,42003982200,75
42003475200,42003475301,75
42003478200,42003040200,75
42003500300,42003020100,75
42003524000,42003525200,75
42003564400,42003521200,75
42003564500,42003491101,75
42003111400,42003020100,74
42003111500,42003982200,74
42003140400,42003140100,74
42003141000,42003020100,74
42003151600,42003982200,74
42003160900,42003982200,74
42003401100,42003403500,74
42003403500,42003020100,74
42003413201,42003413500,74
42003413300,42003409000,74
42003488300,42003020100,74
42003523400,42003982200,74
42003526202,42003526202,74
